id,title,snippet
1,Raster2Seq: Polygon Sequence Generation for Floorplan Reconstruction,Abstract not available
2,GEBench: Benchmarking Image Generation Models as GUI Environments,Abstract not available
3,From Obstacles to Etiquette: Robot Social Navigation with VLM-Informed Path Selection,Abstract not available
4,ANCRe: Adaptive Neural Connection Reassignment for Efficient Depth Scaling,Abstract not available
5,"Robustness Is a Function, Not a Number: A Factorized Comprehensive Study of OOD Robustness in Vision-Based Driving",Abstract not available
6,ShapeCond: Fast Shapelet-Guided Dataset Condensation for Time Series Classification,Abstract not available
7,Dexterous Manipulation Policies from RGB Human Videos via 4D Hand-Object Trajectory Reconstruction,Abstract not available
8,Data Science and Technology Towards AGI Part I: Tiered Data Management,Abstract not available
9,Next-Gen CAPTCHAs: Leveraging the Cognitive Gap for Scalable and Diverse GUI-Agent Defense,Abstract not available
10,ARO: A New Lens On Matrix Optimization For Large Models,Abstract not available
